,en,ko
148,Porto Alegre,포트알레그레
149,Vitoria,비토리아
150,Freeport,프리포트
151,Bahamas,바하마
152,George Town,조지타운
153,Marsh Harbour,마시하버
154,Nassau,나소
155,Kasane,카사네
156,Botswana,보츠와나
157,Gaborone,가보로네
158,Minsk,민스크
159,Belize,벨리즈
160,Edmonton,에드먼턴
161,Ft McMurray,포트 맥머레이
162,Grande Prairie,그랜드 프레리
163,Medicine Hat,메디신햇
164,Calgary,캘거리
165,Nanaimo,나나이모
166,Castlegar,캐슬가
167,Kamloops,캠룹스
168,Kelowna,켈로나
169,Prince Rupert,프린스 루퍼트
170,Cranbrook,크랜브룩
171,Ft St John,포트 세인트 존
172,Prince George,프린스조지
173,Terrace,테라스
174,Penticton,펜틱턴
175,Victoria,빅토리아
176,Winnipeg,위니펙
177,Fredericton,프레더릭턴
178,Moncton,멍크턴
179,St John,세인트존
180,Bathurst,배서스트
181,Deer Lake,디어레이크
182,Gander,갠더
183,Wabush,와부시
184,St Johns,세인트존스
185,Halifax,핼리팩스
186,Kingston,킹스톤
187,Ottawa,오타와
188,Windsor,윈저
189,Thunder Bay,선더베이
190,Sudbury,서드베리
191,Timmins,티민스
192,North Bay,노스베이
193,Sarnia,사니아
194,Charlottetown,샬럿타운
195,Quebec,퀘백
196,Montreal,몬트리올
197,Regina,리자이나
198,Saskatoon,새스커툰
199,Whitehorse,화이트호스
200,Lubumbashi,루붐바시
201,Congo,콩고
202,Kinshasa,킨샤사
203,Brazzaville,브라자빌
204,Berne,베른
205,Geneva,제네바
206,Lugano,루가노
207,Basel,바젤
208,Abidjan,아비장
209,Chile,칠레
210,Santiago,산티아고
211,Douala,두알라
212,Cameroon,카메룬
213,Yaounde,야운데
214,BAOTOU,바오터우
215,DANDONG,단동
216,DUNHUANG,둔황
217,DONGSHENG,동성
218,Handan,한단
219,JI AN,지안
220,Jinjiang,진지앙
221,Bogota,보고타
222,Colombia,콜롬비아
223,Cali,칼리
224,Medellin,메델린
225,San Jose,산호세
226,Costa Rica,코스타리카
227,Cayo Coco,카요코코
228,Cuba,쿠바
229,Havana,하바나
230,Varadero,바라데로
231,Ercan,에르칸
232,Cyprus,키프로스
233,Larnaca,라나카
234,Ostrava,오스트라바
235,Bremen,브레멘
236,Dresden,드레스덴
237,Dusseldorf,뒤셀도르프
238,Friedrichshafen,프리드리히스하펜
239,Muenster,뮌스터
240,Hanover,하노버
241,Nuremberg,뉴렌버그
242,Paderborn,파더보른
243,Berlin,베를린
244,Djibouti,지부티
245,Aalborg,알보크
246,Denmark,덴마크
247,Billund,빌룬드
248,Copenhagen,코펜하겐
249,Grenada,그레나다
250,Dominica,도미니카공화국
251,St Lucia,세인트 루시아
252,Punta Cana,푼타카나
253,Santo Domingo,산또 도밍고
254,BATNA,바트나
255,Constantine,콘스탄틴
256,Oran,오란
257,Tlemcen,틀렘센
258,Guayaquil,과야낄
259,Ecuador,에콰도르
260,Quito,키토
261,Estonia,에스토니아
262,Tallinn,탈린
263,Borg El Arab,보그 엘 아랍
264,Luxor,룩소르
265,Asmara,아스마라
266,Eritrea,에리트레아
267,Malaga,말라가
268,Alicante,알리칸테
269,Bilbao,빌바오
270,Ibiza,이비자
271,Palma,팔마
272,Valencia,발렌시아
273,Addis Ababa,아디스 아바바
274,Ethiopia,에티오피아
275,Helsinki,헬싱키
276,Finland,핀란드
277,Ivalo,이발로
278,Joensuu,요엔수
279,Kuusamo,쿠사모
280,Kittila,키틸라
281,Kuopio,쿠오피오
282,Oulu,오울루
283,Rovaniemi,로바니에미
284,Vaasa,바사
285,Micronesia,마이크로네시아
286,Brest,브레스트
287,Bastia,바스티아
288,Biarritz,비아리츠
289,Aberdeen,애버딘
290,Belfast,벨파스트
291,Birmingham,버밍햄
292,Bristol,브리스톨
293,Cardiff,카디프
294,Leeds,리즈
295,Newcastle,뉴캐슬
296,Glasgow,글라스고
297,Batumi,바투미
298,Georgia,조지아
299,Tbilisi,트빌리시
300,Cayenne,카이엔
301,Accra,아크라
302,Ghana,가나
303,Malabo,말라보
304,Kerkyra,케르키라
305,Mykonos,미코노스
306,Thira,티라
307,Thessaloniki,테살로니키
308,Guatemala City,과테말라 시티
309,Guatemala,과테말라
310,Honduras,온두라스
311,Croatia,크로아티아
312,Pula,풀라
313,Split,스플릿
314,Zadar,자다르
315,Zagreb,자그레브
316,Haiti,아이티
317,Budapest,부다페스트
318,Hungary,헝가리
319,BANJARMASIN,반자르마신
320,Bandung,반둥
321,Balikpapan,발릭파판
322,Batam,바탐
323,Banda Aceh,반다아체
324,Jambi,잠비
325,JAYAPURA,자야뿌라
326,SIBOLGA,시볼가
327,Yogjakarta,요그야카르타
328,LABUAN BAJO,라부안바조
329,Medan,메단
330,MALANG,말랑
331,Palembang,팔렘방
332,Solo,솔로
333,Surabaya,수라바야
334,Bandar Lampung,반다르람풍
335,Dublin,더블린
336,Ireland,아일랜드
337,Bangalore,방갈로
338,Mumbai,뭄바이
339,Kochi,코치
340,Gaya,가야
341,Madurai,마두라이
342,Aurangabad,아우랑가바드
343,Jaipur,자이푸르
344,Lucknow,러크나우
345,Tiruchirappali,티추리라팔리
346,Varanasi,바라나시
347,Vishakhapatanam,비샤카파트남
348,Baghdad,바그다드
349,Iraq,이라크
350,Basra,바스라
351,ERBIL,아르빌
352,NAJAF,나자프
353,Isfahan,이스파한
354,Iran,이란
355,Mashad,마샤드
356,Shiraz,시라즈
357,Teheran,테헤란
358,Reykjavik,레이캬비크
359,Iceland,아이슬란드
360,Ancona,안코나
361,Brindisi,브린디시
362,Bologna,볼로냐
363,Bari,바리
364,Cagliari,칼리아리
365,Catania,카타니아
366,Florence,프로렌스
367,Genoa,제노바
368,Lampedusa,람페두사
369,Naples,나폴리
370,Olbia,올비아
371,Perugia,페루자
372,Palermo,팔레르모
373,Pantelleria,판텔레리아
374,Pisa,피사
375,Turin,튜린
376,Trieste,트리에스테
377,Venice,베니스
378,Verona,베로나
379,Montego Bay,몬테고 베이
380,Jamaica,자메이카
381,Amman,암만
382,Jordan,요르단
383,Aqaba,아카바
384,Asahikawa,아사히카와
385,Aomori,아오모리
386,Amami O Shima,아마미오시마
387,Akita,아키타
388,Shizuoka,시즈오카
389,Yamagata,야마가타
390,Hakodate,하코다테
391,Saga,사가
392,Ishigaki,이시가키
393,Iwami,이와미
394,Izumo,이즈모
395,Kita Kyushu,키타큐슈
396,Miyazaki,미야자키
397,Kagoshima,가고시마
398,Kushiro,쿠시로
399,Memambetsu,메만베츠
400,Miyako,미야코
401,Misawa,미사야
402,Matsuyama,마쓰야마
403,Nagasaki,나가사키
404,WAJIMA,와지마
405,Obihiro,오비히로
406,Oita,오이타
407,Odate Noshiro,오다테노시로
408,Nakashibetsu,나카시베쓰
409,SHIRAHAMA,시라하마
410,Shonai,쇼나이
411,Tokushima,도쿠시마
412,Tottori,톳토리
413,Ube,우베
414,KOBE,고베
415,Yonago,요나고
416,Mombasa,몸바사
417,Bishkek,비슈켓
418,Kyrgyzstan,키르기스스탄
419,Phnom Penh,프놈 펜
420,Cayman,케이만
421,Cayman Islands,케이만아일랜드
422,Kazakstan,카자흐스탄
423,Almaty,알마티
424,Karaganda,카라간다
425,Kzyl Orda,크질오르다
426,Pavlodar,파블로다르
427,Aktau,악타우
428,Astana,아스타나
429,Uralsk,우랄스크
430,Louangphrabang,루앙프라방
431,Vientiane,비엔티엔
432,Beirut,베이루트
433,Lebanon,레바논
434,Colombo,콜롬보
435,Sri Lanka,스리랑카
436,Monrovia,몬로비아
437,Liberia,라이베리아
438,Maseru,마세루
439,Lesotho,레소토
440,Vilnius,빌니우스
441,Lithuania,리투아니아
442,Luxembourg,룩셈부르크
443,Riga,리가
444,Latvia,라트비아
445,Casablanca,카사블랑카
446,Morocco,모로코
447,Rabat,라바트
448,Chisinau,키시네프
449,Moldova,몰도바
450,Madagascar,마다가스카르
451,Skopje,스코페
452,Bamako,바마코
453,Mali,말리
454,Myanmar,미얀마
455,NAYPYITAW,네피도
456,Yangon,양곤
457,Ulaanbaatar,울란바타르
458,Mongolia,몽골
459,Macau,마카오
460,Rota,로타
461,Mauritania,모리타니
462,Malta,몰타
463,Mauritius,모리셔스
464,Blantyre,블랜타이어
465,Malawi,말라위
466,Lilongwe,릴롱궤
467,Acapulco,아카풀코
468,Mexico,멕시코
469,Aguascalientes,아구아스카리엔테스
470,Leon,레온
471,Cancun,칸쿤
472,Chihuahua,치후아후
473,Guadalajara,과달라하라
474,Mexico City,멕시코 시티
475,Merida,메리다
476,Monterrey,몬테레이
477,San Luis Potosi,산루이스포토시
478,Tampico,탐피코
479,Tijuana,티후아나
480,Torreon,토레온
481,Villahermosa,비야에르모사
482,Alor Setar,아로세터
483,Kota Kinabalu,코타 키나발루
484,Bintulu,빈투르
485,Johor Bahru,조호루 바루
486,Kota Bharu,코다바하루
487,Kuching,쿠칭
488,Kuantan,콴탄
489,Langkawi,랑카위
490,Kuala Terengganu,쿠알라테렝가누
491,Tawau,타와우
492,Beira,베이라
493,Mozambique,모잠비크
494,Maputo,마푸토
495,Windhoek,빈트후크
496,Namibia,나미비아
497,Noumea,누메아
498,New Caledonia,뉴칼레도니아
499,Niamey,니아메이
500,Niger,니제르
501,Abuja,아부자
502,Nigeria,나이지리아
503,Enugu,에누구주
504,Kano,카노
505,Lagos,라고스
506,Managua,마나과
507,Nicaragua,니카라과
508,Rotterdam,로테르담
509,Aalesund,올레순드
510,Norway,노르웨이
511,Bergen,베르겐
512,Oslo,오슬로
513,Stavanger,스타방게르
514,Trondheim,트론하임
515,Kathmandu,카트만두
516,Nepal,네팔
517,Blenheim,블레넘
518,Dunedin,더니든
519,Kerikeri,케리케리
520,Palmerston,파머스턴
521,Rotorua,로토루아
522,Tauranga,타우랑가
523,Taupo,타우포
524,Wanganui,왕거누이
525,Whangarei,황거레이
526,Queenstown,퀸스타운
527,Muscat,무스캇
528,Oman,오만
529,Salalah,살라라
530,Panama City,파나마 시티
531,Panama,파나마
532,Lima,리마
533,Peru,페루
534,CLARK,클락
535,Davao,다바오
536,Kalibo,깔리보
537,Islamabad,이슬라마바드
538,Pakistan,파키스탄
539,Karachi,카라치
540,Lahore,라호르
541,Multan,물탄
542,Gdansk,그단스크
543,Poland,폴란드
544,Krakow,크라코프
545,Katowice,카토비체
546,Poznan,포즈난
547,Warsaw,바르샤바
548,Wroclaw,로클로프
549,Faro,파로
550,Portugal,포르투갈
551,Lisbon,리스본
552,Porto,포르토
553,Koror,코로르
554,Palau,팔라우
555,Asuncion,아순시온
556,Paraguay,파라과이
557,Romania,루마니아
558,Constanta,콘스탄짜
559,IASI,이아시
560,Bucharest,부카레스트
561,Belgrade,베오그라드
562,Serbia,세르비아
563,Anapa,아나파
564,Russia,러시아
565,Sochi,소치
566,Arkhangelsk,아르항겔스크
567,Astrakhan,아스트라한
568,Chelyabinsk,첼랴빈스크
569,Kaliningrad,칼리닌그라드
570,Khabarovsk,하바로프스크
571,Krasnoyarsk,크라스노야르스크
572,Samara,사마라
573,Kazan,카잔
574,Murmansk,무르만스크
575,Magnitogorsk,마그니토고르스크
576,Novosibirsk,노보시비르스크
577,Perm,페름
578,Orenburg,오렌부르크
579,Stavropol,스트라브로폴
580,Ekaterinburg,예카테린부르크
581,Vladivostok,블라디보스톡
582,Moscow,모스크바
583,Kigali,키갈리
584,Rwanda,르완다
585,Dammam,다맘
586,Taif,타이프
587,Praslin Island,프랄린
588,Seychelles,세이셸
589,Mahe Island,마에 아일랜드
590,JUBA,주바
591,Gothenburg,고텐버그
592,Sweden,스웨덴
593,Stockholm,스톡홀름
594,Ljubljana,류블리아나
595,Slovenia,슬로베니아
596,Bratislava,브라티슬라바
597,Slovakia,슬로바키아
598,Sierra Leone,시에라리온
599,Dakar,다카르
600,Senegal,세네갈
601,MOGADISHU,모가디슈
602,Somalia,소말리아
603,San Salvador,산살바도르
604,El Salvador,엘살바도르
605,Chad,차드
606,Lome,로메
607,Togo,토고
608,Chiang Rai,치앙라이
609,Chiang Mai,치앙마이
610,Krabi,크라비
611,Dushanbe,두산베
612,Tajikistan,타지키스탄
613,Ashgabat,아슈하바드
614,Turkmenistan,투르크메니스탄
615,Tunis,튀니즈
616,Tunisia,튜니지아
617,Adana,아다나
618,ADIYAMAN,아디야만
619,Agri,아리
620,Ankara,앙카라
621,Kayseri,카이세리
622,Antalya,안탈야
623,Bingol,빈골
624,Bodrum,보드룸
625,Diyarbakir,디야르바키르
626,Dalaman,댈러만
627,Denizli,데니즐리
628,Erzincan,에르진잔
629,Erzurum,에르주룸
630,Elazig,에라지그
631,ANADOLU,아나돌루
632,Gazipasa,가지파사
633,Gaziantep,가지안테프
634,HATAY,하타이
635,IGDIR,으드르
636,ISPARTA,이스파르타
637,Izmir,이즈밀
638,KAHRAMANMARAS,카흐라만마라스
639,Kastamonu,카스타모누
640,Kars,카르스
641,Konya,코니아
642,Kutahya,퀴타히아
643,MALATYA,말라티아
644,Mardin,마르딘
645,Mus,무스
646,Nevsehir,네브쉐히르
647,Sirnak,시르낙
648,Sinop,시놉
649,Samsun,삼순
650,Trabzon,트라브존
651,Sivas,시바스
652,YUSEKOVA,하카리
653,Hualien,화련
654,Kaohsiung,까오슝
655,Taichung,타이중
656,Dar Es Salaam,다르에스살람
657,Tanzania,탄자니아
658,Kilimanjaro,킬리만자로
659,Zanzibar,잔지바르
660,Dnepropetrovsk,드네프로페트로브스크
661,Ukraine,우크라이나
662,Kiev,키예프
663,Kherson,헤르손
664,Odessa,오뎃사
665,Simferopol,심페로폴
666,Entebbe,엔테베
667,Uganda,우간다
668,PANAMA CITY,파나마시티
669,Anchorage,앵커리지
670,Fairbanks,페어뱅크스
671,Birmingham,버밍햄
672,Dothan,도탄
673,Huntsville,헌츠빌
674,Montgomery,몽고메리
675,Mobile,모빌
676,Ft Smith,포트스미스
677,Fayetteville,페이트빌
678,Little Rock,리틀록
679,Texarkana,텍사카나
680,Phoenix,피닉스
681,Tucson,투싼
682,Eureka,유레카아카타
683,Bakersfield,베이커즈필드
684,Carlsbad,칼스배드
685,Fresno,프레즈노
686,Monterey,몬터레이
687,Palm Springs,팜스프링스
688,Redding,레딩
689,San Diego,샌디에고
690,Santa Barbara,산타바바라
691,Burbank,버뱅크
692,Ontario,온타리오
693,ase,아스펜
694,Colorado Springs,콜란도 스프링스
695,Denver,덴버
696,Durango,두랑고
697,Eagle,이글
698,Grand Junction,그랜드 정션
699,Gunnison,구니슨
700,Montrose,몬트로즈
701,Hartford,하트포드
702,Daytona Beach,데이토나 비치
703,Key West,키웨스트
704,Fort Myers,포트마이어스
705,Gainesville,게인즈빌
706,Jacksonville,잭슨빌
707,Pensacola,펜서콜라
708,Sarasota,새러소타
709,Tallahassee,탤러해시
710,Tampa,탬파
711,Ft Walton Beach,포트 월튼비치
712,Ft Lauderdale,포트 로더데일
713,Miami,마이애미
714,West Palm Beach,웨스트팜비치
715,Albany,알바니
716,Augusta,어거스타
717,Columbus,콜롬버스
718,Savannah,서배너
719,Valdosta,발도스타
720,Hilo,힐로
721,Kona,코나
722,Lihue,리후에
723,Lanai,라나이
724,Hoolehua,몰로카이
725,Kahului,카훌루이
726,Cedar Rapids,시더래피즈
727,Dubuque,더뷰크
728,Boise,보이시
729,Idaho Falls,아이다호폴스
730,Lewiston,루이스턴
731,Pocatello,포커텔로
732,Sun Valley,선밸리
733,Twin Falls,트윈폴스
734,Bloomington,블루밍턴
735,Moline,멀린
736,Peoria,페오리아
737,Springfield,스프링필드
738,Evansville,에번즈빌
739,Ft Wayne,포트웨인
740,South Bend,사우스벤드
741,Wichita,위치토
742,Manhattan,맨해튼
743,Lexington,렉싱턴
744,Paducah,퍼두커
745,Louisville,루이빌
746,Alexandria,알렉산드리아
747,Baton Rouge,배턴루지
748,Lake Charles,레이크찰스
749,Lafayette,라피엣
750,Monroe,먼로
751,Shreveport,슈리브포트
752,Baltimore,볼티모어
753,Bangor,뱅거
754,Portland,포틀랜드
755,Alpena,앨피너
756,Kalamazoo,캘러머주
757,Detroit,디트로이트
758,Escanaba,에스커나바
759,Flint,플린트
760,Grand Rapids,그랜드 래피즈
761,Lansing,랜싱
762,Marquette,마켓
763,Traverse,트래블스
764,Bemidji,베미지
765,Duluth,덜루스
766,Columbia,컬럼비아
767,Joplin,졸린
768,Kansas City,캔자스시티
769,St Louis,세인트루이스
770,Gulfport,걸프포트
771,Jackson,잭슨
772,Billings,빌링스
773,Butte,부테
774,Bozeman,보제맨
775,Kalispell,칼리스펠
776,Great Falls,그레이트 폴스
777,Missoula,미소울라
778,Asheville,애슈빌
779,Charlotte,샬럿
780,New Bern,뉴번
781,Greensboro,그린즈버러
782,Wilmington,윌밍턴
783,Bismarck,비스마르크
784,Fargo,파고
785,Omaha,오마하
786,Manchester,맨체스터
787,Albuquerque,앨버커큐
788,Roswell,로스웰
789,Santa Fe,산타 페
790,Elko,엘코
791,Reno,리노
792,Binghamton,빙햄톤
793,Buffalo,버팔로
794,Elmira,엘마이라
795,White Plains,화이트 플레인스
796,Rochester,로체스터
797,Newburgh,뉴버그
798,Syracuse,시라큐스
799,Cincinnati,신시내티
800,Dayton,데이턴
801,Toledo,토레도
802,Lawton,라우튼
803,Oklahoma City,오클라호마시티
804,Tulsa,툴사
805,Eugene,유진
806,Medford,메드퍼드
807,Redmond,레드몬드
808,Allentown,앨렌타운
809,Erie,에리
810,Harrisburg,해리스버그
811,Pittsburgh,피츠버그
812,State College,스테이트칼리지
813,San Juan,산후앙
814,Providence,프로비던스
815,Charleston,찰스턴
816,Greenville,그린빌
817,Myrtle Beach,미틀 비치
818,Rapid City,래피드시티
819,Chattanooga,채터누가
820,Memphis,멤피스
821,Knoxville,녹스빌
822,Abilene,아빌렌
823,Waco,와코
824,Amarillo,아마릴로
825,Austin,오스틴
826,Brownsville,브라운즈빌
827,Corpus Christi,코퍼스크리스티
828,El Paso,엘파소
829,Longview,롱뷰
830,Lubbock,루복
831,Laredo,라리도
832,Midland,미드랜드오데사
833,McAllen,맥컬린
834,San Antonio,샌안토니오
835,San Angelo,산안젤로
836,Wichita Falls,위치타폴스
837,Tyler,테일러
838,Cedar City,시더시티
839,St George,세인트 죠지
840,Salt Lake City,솔트레이크시티
841,Charlottesville,샬럿스빌
842,Newport News,뉴포트뉴스
843,Richmond,리치먼드
844,Roanoke,로어노크
845,Staunton,스톤튼
846,Burlington,벌링턴
847,Bellingham,벨링햄
848,Spokane,스포케인
849,Pasco,파스코
850,Appleton,애플턴
851,Green Bay,그린베이
852,La Crosse,라크로세
853,Milwaukee,밀워키
854,Madison,매디슨
855,Cody,코디
856,Casper,카스퍼
857,Rock Springs,록 스프링스
858,Montevideo,몬테비데오
859,Uruguay,우루과이
860,Bukhara,부하라
861,Uzbekistan,우즈베키스탄
862,KARSHI,카르시
863,NUKUS,누쿠스
864,Tashkent,타쉬켄트
865,Caracas,카라카스
866,Venezuela,베네수엘라
867,Da Nang,다낭
868,Nha Trang,나트랑
869,Sanaa,싸나
870,Yemen,예맨
871,Pristina,프리스티나
872,Yugoslavia,유고슬라비아
873,Podgorica,포드고리차
874,Bloemfontein,블룸폰테인
875,Durban,더반
876,East London,이스트 런던
877,George,조지
878,Kimberley,킴벌리
879,Nelspruit,넬스푸룻
880,Port Elizabeth,포트 엘리자베스
881,Pietersburg,폴로크와네
882,Pietermaritzburg,피터마리츠버그
883,Richards Bay,리차드스 베이
884,Umtata,음타타
885,Lusaka,루사카
886,Zambia,잠비아
887,Goma,고마
888,Bulawayo,불라와요
889,Zimbabwe,짐바브웨
890,Harare,하라레
891,gap,갭
892,cat,캣
893,book,북
894,apt,앱트
895,setback,셋백
896,act,액트
897,stamp,스탬프
898,cape,케이프
899,nest,네스트
900,part,파트
901,desk,데스크
902,make,메이크
903,apple,애플
904,mattress,매트리스
905,bulb,벌브
906,land,랜드
907,zigzag,지그재그
908,lobster,로브스터
909,kidnap,키드냅
910,signal,시그널
911,mask,마스크
912,jazz,재즈
913,graph,그래프
914,olive,올리브
915,thrill,스릴
916,bathe,베이드
917,flash,플래시
918,shrub,슈러브
919,shark,샤크
920,shank,섕크
921,fashion,패션
922,sheriff,셰리프
923,shopping,쇼핑
924,shoe,슈
925,shim,심
926,mirage,미라지
927,vision,비전
928,odds,오즈
929,switch,스위치
930,bridge,브리지
931,hitchhike,히치하이크
932,chart,차트
933,virgin,버진
934,steam,스팀
935,corn,콘
936,ring,링
937,lamp,램프
938,hint,힌트
939,ink,잉크
940,hanging,행잉
941,longing,롱잉
942,hotel,호텔
943,pulp,펄프
944,slide,슬라이드
945,film,필름
946,helm,헬름
947,swoln,스월른
948,team,팀
949,route,루트
950,time,타임
951,house,하우스
952,skate,스케이트
953,oil,오일
954,boat,보트
955,tower,타워
956,word,워드
957,want,원트
958,woe,워
959,wander,완더
960,wag,왜그
961,west,웨스트
962,witch,위치
963,wool,울
964,swing,스윙
965,twist,트위스트
966,penguin,펭귄
967,whistle,휘슬
968,quarter,쿼터
969,yard,야드
970,yank,얭크
971,yearn,연
972,yellow,옐로
973,yawn,욘
974,you,유
975,year,이어
976,battalion,버탤리언
977,union,유니언
978,cuplike,컵라이크
979,bookend,북엔드
980,headlight,헤드라이트
981,touchwood,터치우드
982,bookmaker,북메이커
983,flashgun,플래시건
984,topknot,톱놋
985,kanaan,가나안
986,garnet,가넷
987,guard,가드
988,guardrail,가드레일
989,guard man,가드맨
990,garden,가든
991,cardigan,가디건
992,gavel,가벨
993,gasoline,가솔린
994,gas,가스
995,gas lens,가스레인지
996,gastrocamera,가스트로카메라
997,gossip,가십
998,gossip maker,가십메이커
999,gown,가운
1000,guidance,가이던스
1001,guide,가이드
1002,guide line,가이드라인
1003,Geist,가이스트
1004,guidebook,가이드북
1005,Gandhiism,간디즘
1006,garlic,갈릭
1007,gamma,감마
1008,God,갓
1009,gag,개그
1010,gagman,개그맨
1011,guarantee,개린티
1012,gallry,갤러리
1013,gambel,갬블
1014,gap,갭
1015,gang,갱
1016,girder bridge,거더브리지
1017,girdle,거들
1018,governor,거버너
1019,gudgeon pin,거전핀
1020,girl,걸
1021,gulf,걸프
1022,gun,건
1023,Genom,게놈
1024,German,게르만
1025,guerrilla,게릴라
1026,Gestapo,게슈타보
1027,guest,게스트
1028,gay,게이
1029,gauge,게이지
1030,gate,게이트
1031,gate way,게이트웨이
1032,game,게임
1033,game over,게임 오버
1034,ghetto,게토
1035,Gethsemane,겟세마네
1036,go,고
1037,go-go,고고
1038,Gothic,고딕
1039,gorilla,고릴라
1040,ghost,고스트
1041,Gosilla,고질라
1042,gundola,곤돌라
1043,goal net,골네트
1044,gold,골드
1045,golden,골든
1046,golden season,골든 시즌
1047,golden time,골든타임
1048,goal judge,골 저지
1049,goal keeper,골 키퍼
1050,golfer,골퍼
1051,golf,골프
1052,good,굿
1053,good shot,굿 샷
1054,good idea,굿 아이디어
1055,ground,그라운드
1056,gratin,그라탕
1057,Grand prix,그랑프리
1058,grouting,그라우팅
1059,grinder,그라인더
1060,graphic,그래프
1061,grand,그랜드
1062,grand stand,그랜드스탠드
1063,grame,그램
1064,gray,그레이
1065,great,그레이트
1066,group,그룹
1067,grease,그리스
1068,green,그린
1069,greenbelt,그린벨트
1070,green tea,그린티
1071,Greenpeace,그린피스
1072,glass,글라스
1073,gliding,글라이딩
1074,glamour,글래머
1075,glove,글러브
1076,global,글로벌
1077,global village,글로벌 빌리지
1078,glycerine,글리세린
1079,Gips,기브스
1080,Guinness Book,기네스북
1081,gift shop,기프트 숍
1082,gift item,기프트 아이템
1083,Gymnasium,김나지움
1084,nano,나노
1085,narcissism,나르시시즘
1086,NASA,나사
1087,Nazareth,나사렛
1088,nice,나이스
1089,nightclub,나이트클럽
1090,night,나이트
1091,Nazis,나치스
1092,NATO,나토
1093,Napoleon,나폴레옹
1094,Naphthalin,나프탈린
1095,knowledge,날리지
1096,narration,내레이션
1097,national,내셔널
